21,16,28,15,18,22,23,15,0,27,57,94,22,19,22,14
24,20,26,19,19,25,21,17,0,28,63,94,23,23,21,17
23,19,27,16,22,23,21,15,0,30,61,94,23,20,18,16
25,19,28,16,20,27,22,16,0,29,61,96,25,19,21,18
27,21,27,20,20,24,21,13,0,32,61,95,23,24,21,15
29,24,34,21,22,30,23,16,0,35,64,91,25,23,22,18
30,27,35,24,29,32,29,17,0,38,63,100,27,23,21,19
33,30,41,26,25,31,27,20,0,37,66,100,28,27,21,14
30,30,42,25,30,30,27,21,0,40,66,101,31,24,24,17
30,31,41,25,30,35,27,22,0,43,68,104,32,26,25,18
29,29,37,26,30,36,27,21,0,44,69,102,35,26,25,16
28,25,37,28,33,37,31,23,0,37,67,106,33,28,29,19
26,23,33,29,29,33,31,26,0,39,65,101,32,28,27,19
18,24,31,27,27,32,33,29,0,38,66,103,32,30,31,20
18,26,27,22,28,30,26,24,0,41,68,93,36,26,29,19
21,19,25,25,24,30,40,23,0,38,67,113,27,30,30,31
22,18,26,22,26,28,33,20,0,38,68,106,34,34,31,20
18,21,27,23,25,30,35,28,0,41,67,109,33,28,35,21
20,18,24,20,24,23,34,22,0,41,69,106,34,32,38,22
20,19,23,23,29,25,34,24,0,34,71,105,36,34,31,26
18,19,25,22,24,26,31,21,0,36,66,100,31,35,31,26
19,18,26,24,27,24,32,22,0,34,66,100,31,33,31,24
13,17,21,21,23,27,34,22,0,35,64,99,30,35,34,27
13,16,19,21,21,26,32,20,0,33,68,101,34,31,30,24
14,18,21,18,23,27,34,22,0,35,63,98,28,30,30,26
15,16,22,19,24,24,31,18,0,34,67,101,32,34,34,22
14,15,23,18,24,26,36,23,0,31,64,102,34,31,33,24
14,14,22,19,22,20,32,24,0,32,64,101,29,32,35,28
17,14,19,21,25,22,33,19,0,34,67,97,28,32,34,29
14,15,22,17,22,23,30,17,0,32,64,96,31,32,33,26
15,15,22,20,23,25,32,20,0,33,66,99,31,34,31,27
15,18,22,18,19,21,27,20,0,33,64,93,28,33,35,30
15,19,22,20,22,27,28,23,0,35,63,98,30,31,35,29
14,17,24,21,25,30,30,20,0,35,64,104,35,32,35,28
15,16,26,21,25,29,32,20,0,34,65,99,34,29,32,27
18,15,23,24,26,26,32,23,0,33,63,104,34,31,34,27
13,16,20,19,25,26,31,22,0,41,65,102,34,32,35,27
15,17,23,18,22,23,37,26,0,37,68,100,35,32,37,28
14,18,21,21,20,26,38,26,0,35,70,102,37,28,38,26
14,15,24,21,20,29,37,22,0,35,71,103,39,33,36,28
17,15,23,22,23,29,32,18,0,38,65,105,36,32,37,28
