16,16,23,13,11,12,17,9,0,16,51,83,14,17,10,7
14,14,21,12,11,15,17,9,0,20,53,86,17,17,12,15
16,15,21,12,10,14,19,9,0,16,55,82,12,18,10,14
13,14,20,14,11,18,17,12,0,18,53,80,14,18,13,13
16,14,19,12,14,14,14,9,0,8,51,82,11,14,13,13
15,14,20,11,9,27,15,6,0,21,55,83,27,16,16,6
13,15,19,12,15,14,17,10,0,13,49,83,12,14,14,11
10,14,19,15,13,15,13,9,0,14,49,83,16,17,13,11
15,15,21,13,7,21,17,11,0,24,51,84,19,13,8,14
15,16,18,14,13,12,19,15,0,34,59,88,21,26,20,6
12,16,21,10,13,20,17,9,0,20,60,85,11,17,16,12
12,13,21,13,11,15,19,8,0,18,52,89,14,17,14,9
13,15,22,15,16,20,9,14,0,18,52,79,17,19,21,17
18,19,26,14,17,21,19,11,0,21,55,87,17,18,16,11
17,21,28,16,17,18,21,11,0,23,54,90,18,21,13,14
16,20,27,20,15,23,19,12,0,21,55,91,17,19,15,14
21,25,27,17,20,22,22,14,0,24,54,91,21,19,16,12
18,21,28,20,18,26,19,13,0,27,58,90,16,20,17,13
19,21,29,19,17,23,19,12,0,24,57,91,19,22,16,13
16,19,27,18,18,25,25,15,0,24,56,91,19,21,18,15
15,19,28,17,19,25,23,14,0,26,58,93,19,21,18,15
14,19,25,18,19,24,18,13,0,20,58,93,20,22,18,15
11,21,21,17,23,22,20,8,0,17,65,92,22,31,30,18
15,16,19,20,21,25,22,16,0,25,68,86,18,26,18,15
14,18,28,20,20,27,23,18,0,27,66,90,19,30,18,11
17,14,22,19,17,27,19,15,0,31,65,93,9,29,21,16
13,15,23,18,19,25,25,17,0,28,60,95,18,18,19,15
15,17,22,19,20,21,26,19,0,27,59,86,22,22,21,12
17,15,23,19,18,24,24,16,0,24,59,89,26,17,19,16
7,17,21,16,13,25,24,16,0,27,54,85,22,32,15,13
13,17,22,20,19,22,23,18,0,28,52,87,27,24,28,15
12,14,24,17,18,20,26,20,0,22,58,91,22,20,21,16
12,18,22,17,17,24,27,20,0,19,59,90,21,22,20,17
8,15,18,17,16,21,23,16,0,24,58,88,22,22,23,15
8,16,20,15,17,21,23,16,0,19,52,88,21,24,23,15
9,13,20,16,17,20,26,17,0,25,56,90,21,24,20,14
10,11,21,17,17,21,23,16,0,20,55,91,25,24,24,16
13,13,16,19,14,19,23,14,0,22,54,90,21,24,23,14
10,14,16,15,17,19,23,18,0,21,60,87,21,20,28,15
9,12,17,16,18,18,27,14,0,24,55,87,23,24,23,17
11,12,17,17,13,19,26,14,0,22,57,88,23,22,20,17
8,12,18,17,19,20,28,16,0,20,54,87,22,26,21,18
9,12,17,15,16,20,25,13,0,18,59,88,19,27,23,17
9,12,15,15,14,17,26,14,0,21,53,86,21,26,26,19
13,15,14,13,17,16,21,14,0,22,55,88,18,28,24,21
8,10,12,15,12,17,23,15,0,17,54,87,21,22,22,16
9,10,16,15,13,17,23,12,0,20,50,83,17,21,24,19
9,10,17,11,13,13,23,14,0,18,53,83,19,22,22,17
11,12,13,15,14,20,22,11,0,17,53,82,21,22,23,19
10,10,16,14,12,16,22,13,0,21,51,82,17,23,23,21
7,10,13,12,12,15,20,13,0,17,51,83,18,22,22,17
9,11,14,15,14,14,22,14,0,17,52,82,21,23,25,19
9,10,12,15,15,16,21,13,0,17,50,84,24,19,26,19
9,11,18,14,9,16,23,11,0,19,51,82,19,24,24,16
6,8,14,13,12,15,21,15,0,17,51,81,20,23,21,18
6,10,14,12,14,14,20,11,0,16,51,82,19,23,20,15
8,9,12,13,15,14,19,13,0,14,51,80,17,24,20,17
10,11,13,15,12,16,23,5,0,17,49,80,17,22,22,16
7,12,14,13,9,13,18,10,0,14,51,80,17,22,17,18
10,9,15,12,16,10,15,10,0,16,50,77,16,22,20,20
6,12,14,12,15,13,18,13,0,13,50,77,17,25,23,17
6,11,15,12,5,14,16,9,0,15,51,77,19,22,20,18
7,10,19,13,14,15,19,12,0,16,50,81,16,20,19,19
8,11,15,12,9,15,18,13,0,15,49,79,15,24,20,20
10,13,11,11,15,11,19,10,0,15,49,80,18,26,20,20
6,11,14,12,12,9,20,12,0,16,51,80,19,21,19,19
3,6,15,12,15,20,21,11,0,15,48,77,17,20,22,19
6,10,14,11,14,19,18,14,0,14,50,77,18,20,20,18
5,8,16,12,12,16,16,8,0,15,49,77,18,19,20,19
5,9,12,12,10,13,17,12,0,15,47,77,17,22,17,17
4,8,16,13,15,12,19,9,0,12,47,76,16,21,19,18
8,10,13,12,10,11,18,11,0,15,49,78,14,24,17,16
7,13,14,11,10,13,18,13,0,14,50,78,17,21,19,17
8,11,13,10,12,16,18,13,0,13,46,76,17,20,19,15
6,10,7,13,12,15,18,12,0,14,48,76,15,25,19,18
8,12,13,12,10,10,20,11,0,10,49,79,17,25,17,19
7,9,16,14,11,16,22,9,0,17,47,80,18,23,20,20
6,12,15,9,11,15,18,16,0,16,48,79,17,24,22,20
8,8,14,16,7,11,22,15,0,16,52,81,14,23,23,18
10,11,16,12,11,11,19,13,0,13,51,78,14,23,20,16
8,9,16,13,9,13,20,14,0,13,51,80,18,26,19,17
9,12,16,14,12,15,20,14,0,14,51,83,21,25,24,19
10,16,12,15,11,17,18,11,0,15,50,78,17,23,17,15
2,10,18,13,14,16,18,11,0,12,53,78,16,26,19,15
7,13,16,12,13,14,17,13,0,14,50,80,16,23,19,19
7,10,11,13,15,13,20,9,0,15,50,80,22,23,18,19
7,10,15,14,14,20,16,13,0,12,51,79,17,22,19,18
5,9,14,14,14,16,19,10,0,13,53,79,17,25,21,16
8,11,14,13,17,17,20,12,0,17,50,79,17,23,21,18
7,11,17,15,12,13,22,15,0,15,49,77,16,25,20,19
6,12,10,12,14,13,18,15,0,13,50,77,18,21,21,20
9,9,13,11,12,16,19,12,0,16,49,76,18,21,24,18
7,10,14,12,12,16,19,15,0,20,49,79,15,19,20,16
7,8,11,12,12,14,21,15,0,19,50,81,17,21,19,17
7,11,14,13,12,12,19,11,0,15,50,76,19,22,19,18
10,11,14,11,14,12,17,12,0,15,50,77,20,22,22,18
9,12,14,12,12,15,21,11,0,14,50,76,19,24,18,19
5,8,14,11,12,13,19,11,0,13,51,82,17,28,22,19
7,10,17,10,10,13,19,17,0,15,51,78,17,25,23,12
7,13,12,12,11,11,19,10,0,14,47,75,17,24,22,16
4,11,12,11,9,12,21,12,0,17,48,77,19,23,23,20
6,10,15,10,13,13,21,11,0,12,51,79,15,22,22,20
8,10,14,10,12,12,19,12,0,16,53,77,16,26,23,16
4,9,14,13,10,13,18,9,0,14,47,78,15,22,25,17
8,7,12,11,15,18,20,11,0,13,50,78,17,23,22,19
9,10,12,11,16,13,18,8,0,19,51,80,18,25,24,21
7,11,12,14,14,13,22,10,0,14,52,80,18,21,24,19
11,11,15,12,12,15,23,11,0,17,53,80,16,23,25,21
12,12,9,12,16,15,22,15,0,19,51,82,22,21,25,20
7,11,13,12,13,15,21,14,0,20,51,78,21,24,23,22
7,10,16,13,11,15,21,13,0,20,48,81,22,22,23,17
6,10,16,11,11,18,21,9,0,22,49,79,21,22,22,20
6,10,12,11,13,16,22,13,0,18,48,79,17,23,23,18
8,10,13,14,12,14,18,8,0,16,48,77,19,22,22,19
9,9,13,12,15,16,20,10,0,19,49,76,19,23,24,18
4,9,14,10,13,17,22,12,0,15,48,79,19,19,26,18
10,7,14,13,15,16,20,13,0,17,51,82,21,25,22,17
9,10,11,13,12,18,19,15,0,19,48,82,16,21,22,18
8,10,13,14,15,15,19,16,0,19,53,78,19,22,22,15
5,12,12,13,12,15,20,13,0,17,50,80,16,22,22,14
4,6,9,15,10,18,20,14,0,18,51,79,18,23,21,19
8,10,15,14,14,11,20,13,0,19,50,80,15,26,19,18
9,9,13,13,15,15,21,11,0,17,50,79,18,22,24,19
8,10,12,13,12,15,19,12,0,21,49,79,17,23,22,19
7,12,16,12,11,12,22,14,0,15,48,78,17,20,21,20
7,9,14,13,11,16,20,16,0,17,49,78,18,22,21,19
4,11,16,13,14,18,22,11,0,19,52,78,17,23,21,18
9,11,11,13,16,13,24,12,0,17,52,80,20,20,23,17
