23,15,24,18,23,22,25,20,0,20,65,97,22,23,21,15
23,15,24,19,23,22,22,19,0,24,68,98,24,23,20,12
26,17,25,21,23,24,26,19,0,26,66,98,19,23,17,13
24,17,25,18,23,23,28,16,0,26,63,95,24,25,22,16
25,16,29,21,23,23,27,20,0,24,68,96,20,23,16,18
29,20,27,23,25,26,25,21,0,26,67,99,25,21,23,15
32,20,28,22,25,24,30,23,0,37,70,98,24,23,24,17
32,20,27,28,28,27,32,26,0,26,74,100,23,28,24,19
28,21,26,29,32,29,34,25,0,22,67,101,27,27,20,20
19,23,24,30,27,25,33,25,0,27,63,100,28,24,28,16
22,21,24,20,27,25,29,19,0,33,66,102,37,21,35,17
20,19,27,19,28,33,28,21,0,50,67,101,30,24,29,20
25,21,29,16,26,25,25,18,0,38,75,101,35,29,38,18
21,17,24,25,23,27,31,18,0,28,69,101,15,28,26,31
14,20,20,25,22,20,29,18,0,35,63,97,30,24,29,21
14,18,19,20,19,21,26,19,0,33,64,98,31,23,29,25
16,18,24,20,24,27,25,19,0,32,63,99,30,27,27,20
15,21,26,19,26,29,23,16,0,33,71,98,28,37,28,25
18,20,28,20,26,29,26,18,0,32,70,99,20,33,27,24
18,17,24,23,19,25,31,24,0,28,65,95,26,31,31,25
11,22,19,20,20,20,31,19,0,30,64,98,33,27,34,24
15,17,19,20,21,23,26,24,0,33,61,98,38,28,29,25
14,15,23,21,28,25,28,27,0,34,67,96,28,32,28,25
14,16,21,18,23,20,27,19,0,28,72,96,23,34,28,22
12,15,19,20,20,18,31,21,0,24,69,94,24,29,29,22
13,16,21,21,19,20,28,19,0,25,62,97,26,27,34,24
16,15,19,17,23,21,27,20,0,31,64,100,33,30,37,24
13,16,20,20,21,29,27,20,0,33,62,95,35,30,30,25
14,17,23,20,24,27,21,20,0,32,62,95,25,35,27,23
14,18,22,17,18,27,25,17,0,26,70,95,21,33,25,23
14,15,22,20,21,22,28,24,0,27,62,98,24,32,30,24
14,15,19,20,19,23,29,20,0,23,63,93,26,29,34,24
13,16,19,17,19,19,31,22,0,26,63,99,32,32,42,25
14,14,18,20,21,24,22,22,0,29,64,96,34,30,32,28
14,20,22,22,29,26,24,20,0,28,65,98,29,36,34,29
18,17,23,19,23,26,27,20,0,27,64,96,25,32,31,25
15,13,21,19,21,21,30,17,0,30,65,95,22,29,29,25
14,15,18,19,21,26,32,18,0,30,62,96,26,34,39,29
15,15,19,17,17,22,29,21,0,24,64,96,30,31,44,27
11,16,19,20,23,21,25,23,0,29,62,104,34,28,37,26
12,18,22,18,24,25,26,23,0,28,64,97,28,33,32,26
14,15,23,18,27,26,23,19,0,34,67,93,28,32,30,27
16,13,19,19,21,23,30,15,0,34,65,93,26,29,27,23
14,15,22,19,20,26,35,18,0,36,64,93,24,32,36,27
12,15,17,18,19,26,31,18,0,32,67,101,31,36,46,24
15,17,19,22,23,26,27,24,0,33,64,104,36,34,36,24
14,19,21,23,26,26,27,24,0,32,63,103,32,33,29,25
14,20,23,17,25,23,23,18,0,27,65,94,29,34,27,19
15,17,19,18,21,25,25,14,0,32,64,95,31,33,29,24
