10,14,18,16,18,22,27,17,0,22,40,86,25,25,22,18
11,14,15,17,12,25,28,18,0,22,59,84,27,28,25,17
13,16,18,18,19,16,27,17,0,26,63,87,26,28,25,18
11,14,19,20,20,23,31,19,0,26,63,91,29,32,26,20
11,17,16,23,23,22,35,25,0,27,72,97,32,34,35,22
11,15,19,24,22,25,37,22,0,26,68,99,29,38,38,23
11,13,16,21,21,19,37,23,0,26,70,99,26,38,40,28
10,12,13,17,19,21,34,19,0,24,63,93,26,34,35,23
9,10,18,16,17,16,28,16,0,24,52,87,23,30,31,21
9,13,18,15,12,18,25,16,0,22,15,85,24,29,29,24
10,7,10,14,13,18,23,14,0,16,14,13,18,15,24,21
8,12,17,12,15,17,23,15,0,20,14,13,21,17,23,20
9,11,14,13,12,15,21,12,0,18,17,15,20,18,20,20
8,9,15,11,14,16,23,15,0,18,15,13,20,16,22,17
9,12,16,14,15,17,19,14,0,21,16,13,21,18,19,19
9,10,15,13,16,18,19,11,0,19,15,14,23,19,27,22
12,11,15,13,15,17,20,11,0,18,15,11,19,17,24,24
13,10,17,16,14,16,20,18,0,17,14,12,20,18,23,25
10,11,17,15,15,17,18,11,0,16,12,11,19,15,22,23
10,11,11,13,15,15,17,17,0,18,10,13,22,19,20,21
12,7,16,10,14,16,19,14,0,18,14,13,21,18,21,21
9,11,16,12,10,14,19,13,0,16,10,13,17,15,20,19
11,14,16,14,14,20,17,11,0,17,12,11,19,14,21,22
10,10,16,13,11,17,22,12,0,20,12,14,17,15,19,19
8,13,16,12,13,17,18,13,0,20,11,14,18,19,21,18
9,11,15,13,15,18,22,11,0,16,12,11,19,18,20,23
11,13,17,12,14,14,16,14,0,14,8,14,17,17,22,20
8,8,15,12,14,19,22,12,0,16,12,14,22,17,24,21
9,11,16,13,16,15,17,10,0,13,10,10,16,18,22,22
12,9,15,12,15,16,22,12,0,15,10,12,17,16,20,23
7,9,12,12,16,19,17,13,0,17,12,14,20,16,20,26
6,9,14,12,17,23,18,15,0,17,12,13,21,18,23,23
10,12,18,11,11,12,17,14,0,19,12,12,22,19,15,21
8,11,14,12,12,17,18,11,0,15,14,12,19,16,19,21
10,12,13,12,14,14,18,12,0,15,12,11,16,16,19,20
10,9,15,12,14,14,17,12,0,16,11,11,17,16,20,22
9,11,12,12,12,19,19,12,0,16,10,13,19,19,20,23
9,9,14,12,17,19,17,15,0,14,11,12,16,15,22,20
9,10,18,14,14,16,18,14,0,17,12,11,17,15,19,19
12,10,16,14,13,18,16,11,0,16,11,14,17,16,20,23
