31,5,5,10,11,10,15,6,0,7,47,85,9,12,4,1
48,9,5,15,15,11,13,3,0,4,56,85,6,16,8,1
47,9,7,11,26,14,24,7,0,6,52,90,12,16,7,4
46,10,3,13,19,11,17,5,0,8,52,90,11,19,4,3
46,8,3,11,19,11,17,4,0,6,50,85,6,19,2,4
50,9,6,14,22,11,20,3,0,10,52,87,8,13,7,4
49,9,4,15,21,11,18,5,0,8,50,85,9,15,5,4
47,10,5,14,20,12,18,6,0,9,54,90,10,17,6,3
50,10,6,13,25,14,20,4,0,9,50,86,10,13,8,5
60,11,5,13,28,16,21,8,0,15,54,90,10,13,6,3
57,11,3,15,30,19,25,7,0,13,53,92,11,16,6,5
56,10,5,14,31,17,24,2,0,8,51,91,9,15,3,4
59,12,5,14,35,20,29,9,0,14,54,92,12,15,6,1
57,14,4,13,36,19,28,3,0,10,55,93,13,14,2,2
55,12,7,13,37,23,32,8,0,11,55,93,11,14,6,6
53,12,4,15,36,21,32,9,0,12,56,92,14,15,2,3
54,12,7,14,42,19,36,9,0,21,56,97,13,15,7,3
52,13,6,16,42,23,37,9,0,11,54,102,12,19,7,6
48,14,4,15,43,26,40,11,0,20,53,92,19,15,8,4
46,15,5,18,46,21,40,11,0,15,54,94,17,16,5,5
45,10,4,16,46,22,45,13,0,19,57,100,15,15,3,6
46,12,7,16,48,22,43,12,0,14,53,102,16,20,7,4
41,12,2,14,46,20,45,12,0,21,54,102,11,19,8,7
40,11,4,16,47,24,49,12,0,17,55,102,21,20,6,7
42,13,9,14,47,24,54,15,0,26,55,106,27,17,5,7
38,11,7,13,45,23,50,15,0,17,56,104,21,16,7,8
38,12,3,13,49,22,50,16,0,24,56,101,22,18,8,8
38,10,7,16,45,18,56,15,0,15,55,105,22,20,6,8
34,12,7,14,42,21,55,14,0,18,55,103,20,21,6,11
33,12,7,15,41,21,54,15,0,19,56,105,21,22,6,14
33,12,3,10,42,19,53,14,0,15,56,109,23,23,4,11
32,13,6,12,40,21,50,15,0,14,56,105,25,22,10,16
32,13,7,14,41,20,53,16,0,15,55,105,22,23,6,14
28,14,4,14,42,22,50,19,0,12,55,109,23,24,6,14
32,13,5,12,40,22,51,17,0,22,58,105,25,24,9,19
29,11,4,13,40,21,57,13,0,13,55,117,21,25,5,17
30,12,5,13,40,22,53,13,0,16,52,106,26,15,2,23
30,13,7,11,42,22,54,16,0,20,57,102,26,25,7,17
24,12,5,12,42,22,53,18,0,15,60,104,28,20,5,19
27,12,4,12,40,26,52,19,0,18,54,106,25,25,8,16
27,12,8,12,47,22,53,19,0,19,55,102,25,19,17,18
